,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
1119,Facebook: Gare à cette (vieille) intox censée protéger votre droit d'auteur,Une intox partagée depuis au moins 2012 sur Facebook prétend aider les utilisateurs à protéger leur droit d'auteur sur la plateforme... ,https://www.20minutes.fr/high-tech/2406099-20181231-facebook-gare-vieille-intox-censee-proteger-droit-auteur,,le 31/12/18 à 12h35,le 31/12/18 à 15h13,Alexis Orsini,20minutes
1120,"SMIC suisse, Macron et le Wakanda... Attention aux intox de la semaine",Soyez forts contre les fausses nouvelles...,https://www.20minutes.fr/societe/2405063-20181229-smic-suisse-macron-wakanda-attention-intox-semaine,Faux,le 29/12/18 à 11h35,le 29/12/18 à 11h35,Mathilde Cousin,20minutes
1121,Fake ou pas fake: Saurez-vous retrouver les intox qui ont marqué l'année?,« 20 Minutes » vous propose un quiz pour démêler le vrai du faux dans l’actualité de 2018…,https://www.20minutes.fr/societe/2404827-20181228-fake-fake-saurez-retrouver-intox-marque-annee,Faux,le 28/12/18 à 15h26,le 28/12/18 à 16h24,M.Co.,20minutes
1122,"Non, il n'existe pas de salaire minimum dans toute la Suisse","Un post Facebook affirme que « le SMIC en Suisse est à 3.600 euros ». Il n'existe pas de salaire minimum dans l'ensemble de la fédération. Depuis 2017, une rémunération minimum est en vigueur dans deux cantons...",https://www.20minutes.fr/economie/2404339-20181227-non-existe-salaire-minimum-toute-suisse,Faux,le 27/12/18 à 18h10,le 27/12/18 à 18h13,Mathilde Cousin,20minutes
1123,Emmanuel Macron a-t-il fait le signe du Wakanda au Tchad?,"A en croire une vidéo virale sur Twitter, Emmanuel Macron aurait réalisé, lors de sa brève visite au Tchad, le salut du Wakanda, popularisé par le film Black Panther...",https://www.20minutes.fr/politique/2404419-20181227-emmanuel-macron-fait-signe-wakanda-tchad,,le 27/12/18 à 17h25,le 27/12/18 à 18h03,Alexis Orsini,20minutes
1124,"Non, le maire de Metz n’a pas tenu un discours délirant et islamophobe sur le porc dans les cantines",Un faux discours islamophobe attribué au maire de Metz (et précédemment à d'autres élus en France et ailleurs) est très partagé sur Facebook...,https://www.20minutes.fr/societe/2403791-20181226-non-maire-metz-tenu-discours-delirant-islamophobe-porc-cantines,Faux,le 26/12/18 à 17h21,le 26/12/18 à 17h21,Alexis Orsini,20minutes
1125,Utiliser la vidéo pour surveiller les déplacements des fichés S? Une proposition inapplicable actuellement,"Christian Estrosi veut obtenir la liste des fichés S de sa ville pour surveiller leurs déplacements avec la vidéosurveillance, mais aucun texte n'autorise actuellement un tel dispositif....",https://www.20minutes.fr/societe/2401635-20181223-utiliser-video-surveiller-deplacements-fiches-proposition-inapplicable-actuellement,Faux,le 23/12/18 à 17h11,le 27/12/18 à 12h06,Mathilde Cousin,20minutes
1126,"Prime de Noël des sénateurs, loi Rothschild... Attention aux intox de la semaine",Soyez forts contre les fausses nouvelles...,https://www.20minutes.fr/high-tech/2401651-20181222-prime-noel-senateurs-loi-rothschild-attention-intox-semaine,Faux,le 22/12/18 à 11h35,le 22/12/18 à 11h35,Alexis Orsini,20minutes
1127,"La limitation à 80 km/h coûte-t-elle vraiment 3,8 milliards d’euros par an?","Une analyse d'un comité, proche d'une association de défense des automobilistes, remet en question l'utilité et le coût de cette mesure décriée...",https://www.20minutes.fr/societe/2401495-20181221-limitation-80-kmh-coute-vraiment-38-milliards-euros-an,,le 21/12/18 à 19h34,le 21/12/18 à 19h34,Alexis Orsini,20minutes
1128,«Gilets jaunes»: L'étrange histoire d'une banderole antisémite sur un rond-point,Un automobiliste affirme avoir photographié une pancarte au contenu antisémite sur un rond-point tenu par des « gilets jaunes » près de Lyon. La gendarmerie a reçu des signalements au sujet de cette banderole...,https://www.20minutes.fr/societe/2401011-20181221-gilets-jaunes-etrange-histoire-banderole-antisemite-rond-point,,le 21/12/18 à 15h31,le 21/12/18 à 15h31,Mathilde Cousin,20minutes
